source_manifest_sha256,asset_sha256,asset_url,asset_width,asset_height,asset_classification,visual_subject,mapping_ordinal,sku,asin,slot,mapping_result,expected_recipe_keys,represented_recipe_keys,missing_recipe_keys,sku_conclusion,sku_defects,sku_required_actions
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,03de6fb00ca4acd7a510c7dac63895796de05559eac7a8e45a6b6a4287b4f2a2,https://m.media-amazon.com/images/I/619x463ateL.jpg,1024,1024,RECIPE_SPECIFIC_NEEDS_MAPPING,PRODUCT_SPECIFIC_MANUFACTURER_GALLERY_ASSET:PB_MIXED_BERRY,587,NS-ASSD-B3JJ,B0H82L945T,GALLERY_2,MATCHES_FULL_SINGLE_COMPONENT_RECIPE,PB_MIXED_BERRY,PB_MIXED_BERRY,,KEEP,,
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,03de6fb00ca4acd7a510c7dac63895796de05559eac7a8e45a6b6a4287b4f2a2,https://m.media-amazon.com/images/I/619x463ateL.jpg,1024,1024,RECIPE_SPECIFIC_NEEDS_MAPPING,PRODUCT_SPECIFIC_MANUFACTURER_GALLERY_ASSET:PB_MIXED_BERRY,855,SA-ASDW-SNEW,B0H82SMZ2M,GALLERY_2,MATCHES_FULL_SINGLE_COMPONENT_RECIPE,PB_MIXED_BERRY,PB_MIXED_BERRY,,KEEP,,
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,03de6fb00ca4acd7a510c7dac63895796de05559eac7a8e45a6b6a4287b4f2a2,https://m.media-amazon.com/images/I/619x463ateL.jpg,1024,1024,RECIPE_SPECIFIC_NEEDS_MAPPING,PRODUCT_SPECIFIC_MANUFACTURER_GALLERY_ASSET:PB_MIXED_BERRY,937,TP-AS91-8PAZ,B0H835T5HN,GALLERY_2,MATCHES_FULL_SINGLE_COMPONENT_RECIPE,PB_MIXED_BERRY,PB_MIXED_BERRY,,KEEP,,
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,0642ec9e501feef33164e1d55c2ddb4740a31f9ca319ce775fad0278f8f9b78f,https://m.media-amazon.com/images/I/61GZdLgZuzL.jpg,1600,1600,RECIPE_SPECIFIC_NEEDS_MAPPING,PRODUCT_SPECIFIC_MANUFACTURER_GALLERY_ASSET:PB_BLACKBERRY,274,FK-AS6B-6G25,B0H8259J9G,GALLERY_5,MATCHES_FULL_SINGLE_COMPONENT_RECIPE,PB_BLACKBERRY,PB_BLACKBERRY,,KEEP,,
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,0642ec9e501feef33164e1d55c2ddb4740a31f9ca319ce775fad0278f8f9b78f,https://m.media-amazon.com/images/I/61GZdLgZuzL.jpg,1600,1600,RECIPE_SPECIFIC_NEEDS_MAPPING,PRODUCT_SPECIFIC_MANUFACTURER_GALLERY_ASSET:PB_BLACKBERRY,956,TQ-ASC4-P2NP,B0H839G6RQ,GALLERY_5,MATCHES_FULL_SINGLE_COMPONENT_RECIPE,PB_BLACKBERRY,PB_BLACKBERRY,,KEEP,,
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,0642ec9e501feef33164e1d55c2ddb4740a31f9ca319ce775fad0278f8f9b78f,https://m.media-amazon.com/images/I/61GZdLgZuzL.jpg,1600,1600,RECIPE_SPECIFIC_NEEDS_MAPPING,PRODUCT_SPECIFIC_MANUFACTURER_GALLERY_ASSET:PB_BLACKBERRY,1184,YA-ASX6-PZE7,B0H82YB4PD,GALLERY_5,MATCHES_FULL_SINGLE_COMPONENT_RECIPE,PB_BLACKBERRY,PB_BLACKBERRY,,KEEP,,
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,0642ec9e501feef33164e1d55c2ddb4740a31f9ca319ce775fad0278f8f9b78f,https://m.media-amazon.com/images/I/61GZdLgZuzL.jpg,1600,1600,RECIPE_SPECIFIC_NEEDS_MAPPING,PRODUCT_SPECIFIC_MANUFACTURER_GALLERY_ASSET:PB_BLACKBERRY,1216,YM-AS7P-ZX44,B0H83S1LDG,GALLERY_5,MATCHES_FULL_SINGLE_COMPONENT_RECIPE,PB_BLACKBERRY,PB_BLACKBERRY,,KEEP,,
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,0642ec9e501feef33164e1d55c2ddb4740a31f9ca319ce775fad0278f8f9b78f,https://m.media-amazon.com/images/I/61GZdLgZuzL.jpg,1600,1600,RECIPE_SPECIFIC_NEEDS_MAPPING,PRODUCT_SPECIFIC_MANUFACTURER_GALLERY_ASSET:PB_BLACKBERRY,1232,ZB-ASKL-9W8G,B0H82LKBYH,GALLERY_5,MATCHES_FULL_SINGLE_COMPONENT_RECIPE,PB_BLACKBERRY,PB_BLACKBERRY,,KEEP,,
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,09e96cd0c9e270c588d480e2232a5d69115f0b75748edfc5278873044831ef3e,https://m.media-amazon.com/images/I/61v+iEMR7+L.jpg,1600,1600,KEEP_SHARED,FLAVOR_NEUTRAL_FREEZE_OR_FRIDGE_DIRECTIONS,13,AD-AS4H-QXZD,B0H82J6V9T,GALLERY_4,FLAVOR_NEUTRAL_SHARED_CONTEXT_MATCH,PB_HONEY,,,REBUILD_GALLERY,NON_EXACT_MULTI_FLAVOR_PROMO,REMOVE_OR_REPLACE_NON_EXACT_MULTI_FLAVOR_PROMO
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,09e96cd0c9e270c588d480e2232a5d69115f0b75748edfc5278873044831ef3e,https://m.media-amazon.com/images/I/61v+iEMR7+L.jpg,1600,1600,KEEP_SHARED,FLAVOR_NEUTRAL_FREEZE_OR_FRIDGE_DIRECTIONS,21,AG-ASKV-W9EN,B0H85B64V2,GALLERY_4,FLAVOR_NEUTRAL_SHARED_CONTEXT_MATCH,PB_HONEY|PB_STRAWBERRY,,,REBUILD_GALLERY,MISSING_RECIPE_COMPONENT_COVERAGE|NON_EXACT_MULTI_FLAVOR_PROMO,ADD_PRODUCT_IMAGES_FOR_EVERY_RECIPE_COMPONENT|REMOVE_OR_REPLACE_NON_EXACT_MULTI_FLAVOR_PROMO
aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,09e96cd0c9e270c588d480e2232a5d69115f0b75748edfc5278873044831ef3e,https://m.media-amazon.com/images/I/61v+iEMR7+L.jpg,1600,1600,KEEP_SHARED,FLAVOR_NEUTRAL_FREEZE_OR_FRIDGE_DIRECTIONS,53,AV-AS7X-8EXK,B0H82JTY19,GALLERY_4,FLAVOR_NEUTRAL_SHARED_CONTEXT_MATCH,WHOLE_WHEAT_PB_STRAWBERRY,,,REBUILD_GALLERY,NON_EXACT_MULTI_FLAVOR_PROMO,REMOVE_OR_REPLACE_NON_EXACT_MULTI_FLAVOR_PROMO
